id Age Error Depth Thickness Outlier1 Outlier2 Type
GifA95041 1150 60 0.5 1 0.05 0.001 1
GifA95321 2240 40 20.5 1 0.05 0.001 1
GifA95322 2275 40 20.5 1 0.05 0.001 1
GifA95323 3130 45 33.5 1 0.05 0.001 1
GifA95324 4770 70 52.5 1 0.05 0.001 1
GifA95325 6660 50 85.5 1 0.05 0.001 1
GifA95327 8840 60 130.5 1 0.05 0.001 1
GifA95328 9100 70 175.5 1 0.05 0.001 1
GifA95329 10450 70 215.5 1 0.05 0.001 1
GifA95330 11400 80 230.5 1 0.05 0.001 1
GifA95042 12150 110 280.5 1 0.05 0.001 1
GifA95043 13200 120 300.5 1 0.05 0.001 1
GifA95044 16550 140 320.5 1 0.05 0.001 1
Unknown1 22290 210 365.5 1 0.05 0.001 1
Unknown2 24670 230 370.5 1 0.05 0.001 1
Unknown3 28010 320 390.5 1 0.05 0.001 1
Unknown4 31560 410 430.5 1 0.05 0.001 1
Unknown5 32130 380 454.5 1 0.05 0.001 1
Unknown6 30650 290 454.5 1 0.05 0.001 1
Unknown7 31140 370 454.5 1 0.05 0.001 1
Unknown8 33580 460 475.5 1 0.05 0.001 1
Unknown9 34810 560 490.5 1 0.05 0.001 1
Unknown10 34940 550 490.5 1 0.05 0.001 1
Unknown11 39090 810 510.5 1 0.05 0.001 1
Unknown12 42400 1100 535.5 1 0.05 0.001 1
