id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	7150	130	20	0	0.05	0.001	1
Unknown2	6040	130	26	0	0.05	0.001	1
Unknown3	8040	100	30	0	0.05	0.001	1
Unknown4	9490	140	40	0	0.05	0.001	1
Unknown5	12400	130	50	0	0.05	0.001	1
Unknown6	12830	120	60	0	0.05	0.001	1
Unknown7	15720	150	80	0	0.05	0.001	1
Unknown8	16190	160	84	0	0.05	0.001	1
Unknown9	16600	200	90	0	0.05	0.001	1
Unknown10	16950	180	94	0	0.05	0.001	1
Unknown11	17510	170	99	0	0.05	0.001	1
Unknown12	18890	200	116	0	0.05	0.001	1
Unknown13	19400	200	120	0	0.05	0.001	1
Unknown14	20450	230	130	0	0.05	0.001	1
