id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 7150 130 20 0 0.05 0.001 1
Unknown2 6040 130 26 0 0.05 0.001 1
Unknown3 8040 100 30 0 0.05 0.001 1
Unknown4 8910 140 40 0 0.05 0.001 1
Unknown5 11300 130 50 0 0.05 0.001 1
Unknown6 11440 120 60 0 0.05 0.001 1
Unknown7 13930 150 80 0 0.05 0.001 1
Unknown8 14490 160 84 0 0.05 0.001 1
Unknown9 15020 200 90 0 0.05 0.001 1
Unknown10 15400 180 94 0 0.05 0.001 1
Unknown11 16030 170 99 0 0.05 0.001 1
Unknown12 17990 200 116 0 0.05 0.001 1
Unknown13 18520 200 120 0 0.05 0.001 1
Unknown14 20440 230 130 0 0.05 0.001 1
