id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 7150 130 20 0 0.05 0.001 1
Unknown2 6040 130 26 0 0.05 0.001 1
Unknown3 8040 100 30 0 0.05 0.001 1
Unknown4 9490 140 40 0 0.05 0.001 1
Unknown5 12040 130 50 0 0.05 0.001 1
Unknown6 12170 120 60 0 0.05 0.001 1
Unknown7 14300 150 80 0 0.05 0.001 1
Unknown8 14780 160 84 0 0.05 0.001 1
Unknown9 15080 200 90 0 0.05 0.001 1
Unknown10 15410 180 94 0 0.05 0.001 1
Unknown11 16050 170 99 0 0.05 0.001 1
Unknown12 18350 200 116 0 0.05 0.001 1
Unknown13 18810 200 120 0 0.05 0.001 1
Unknown14 20110 230 130 0 0.05 0.001 1
