id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	1100	65	22.5	0	0.05	0.001	1
Unknown2	1410	25	47.5	0	0.05	0.001	1
Unknown3	2750	75	100.5	0	0.05	0.001	1
Unknown4	2410	40	101.5	0	0.05	0.001	1
Unknown5	2870	80	112.5	0	0.05	0.001	1
Unknown6	2590	30	114.5	0	0.05	0.001	1
Unknown7	3220	30	158.5	0	0.05	0.001	1
Unknown8	3560	30	174.5	0	0.05	0.001	1
Unknown9	4370	55	232.5	1	0.05	0.001	1
Unknown10	4450	30	232.5	1	0.05	0.001	1
Unknown11	5060	65	252.5	0	0.05	0.001	1
Unknown12	4710	40	260.5	1	0.05	0.001	1
Unknown13	4790	30	260.5	1	0.05	0.001	1
Unknown14	5070	60	262.5	0	0.05	0.001	1
Unknown15	6230	75	332.5	0	0.05	0.001	1
Unknown16	6100	50	334.5	1	0.05	0.001	1
Unknown17	6110	40	334.5	1	0.05	0.001	1
Unknown18	6330	65	372.5	0	0.05	0.001	1
Unknown19	7910	60	430.5	0	0.05	0.001	1
Unknown20	8210	60	432.5	0	0.05	0.001	1
Unknown21	8020	50	436.5	0	0.05	0.001	1
Unknown22	9050	80	502.5	0	0.05	0.001	1
Unknown23	8990	90	506.5	0	0.05	0.001	1
Unknown24	9940	65	620.5	0	0.05	0.001	1
Unknown25	10210	110	622.5	0	0.05	0.001	1
Unknown26	10430	60	650.5	0	0.05	0.001	1
Unknown27	10270	110	652.5	0	0.05	0.001	1
Unknown28	11680	110	722.5	0	0.05	0.001	1
Unknown29	13490	140	792.5	0	0.05	0.001	1
Unknown30	14360	154	842.5	0	0.05	0.001	1
Unknown31	14560	161	852.5	0	0.05	0.001	1
Unknown32	15910	190	892.5	0	0.05	0.001	1
Unknown33	16890	220	912.5	0	0.05	0.001	1
Unknown34	17660	220	922.5	0	0.05	0.001	1
Unknown35	18450	140	932.5	0	0.05	0.001	1
Unknown36	24910	590	1032.5	0	0.05	0.001	1
Unknown37	26550	330	1102.5	1	0.05	0.001	1
Unknown38	27240	660	1102.5	1	0.05	0.001	1
Unknown39	31200	1100	1212.5	0	0.05	0.001	1
Unknown40	35900	2400	1272.5	0	0.05	0.001	1
