id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown17	6110	40	334.5	1	0.05	0.001	1
Unknown18	6330	65	372.5	0	0.05	0.001	1
Unknown19	7910	60	430.5	0	0.05	0.001	1
Unknown20	8210	60	432.5	0	0.05	0.001	1
Unknown21	8020	50	436.5	0	0.05	0.001	1
Unknown22	9050	80	502.5	0	0.05	0.001	1
Unknown23	8990	90	506.5	0	0.05	0.001	1
Unknown24	9940	65	620.5	0	0.05	0.001	1
Unknown25	10210	110	622.5	0	0.05	0.001	1
Unknown26	10430	60	650.5	0	0.05	0.001	1
Unknown27	10270	110	652.5	0	0.05	0.001	1
Unknown28	11680	110	722.5	0	0.05	0.001	1
Unknown29	13490	140	792.5	0	0.05	0.001	1
