id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown28	11680	110	722.5	0	0.05	0.001	1
Unknown29	13490	140	792.5	0	0.05	0.001	1
Unknown30	14360	154	842.5	0	0.05	0.001	1
Unknown31	14560	161	852.5	0	0.05	0.001	1
Unknown32	15910	190	892.5	0	0.05	0.001	1
Unknown33	16890	220	912.5	0	0.05	0.001	1
Unknown34	17660	220	922.5	0	0.05	0.001	1
Unknown35	18450	140	932.5	0	0.05	0.001	1
Unknown36	24910	590	1032.5	0	0.05	0.001	1
Unknown37	26550	330	1102.5	1	0.05	0.001	1
Unknown38	27240	660	1102.5	1	0.05	0.001	1
Unknown39	31200	1100	1212.5	0	0.05	0.001	1
Unknown40	35900	2400	1272.5	0	0.05	0.001	1
