id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
AA2483	1260	55	1	2	0.05	0.001	1
WH261	1890	140	30	2	0.05	0.001	1
AA4190	3010	55	59	2	0.05	0.001	1
AA1806	2940	65	65	2	0.05	0.001	1
AA4226	3560	60	85	2	0.05	0.001	1
AA3430	4710	140	102	4	0.05	0.001	1
AA2483b	4540	110	103	2	0.05	0.001	1
AA4227	4920	60	113	2	0.05	0.001	1
AA1808	7770	90	155	2	0.05	0.001	1
AA1806b	9210	150	175	2	0.05	0.001	1
AA1804	11150	310	202	4	0.05	0.001	1
AA3405	12800	130	283	2	0.05	0.001	1
OS1838	12500	45	283	2	0.05	0.001	1
AA3409	14800	200	389	2	0.05	0.001	1
