id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
KIA26539	12918	65	150.8	0	0.05	0.001	1
KIA35319	13250	70	156	0	0.05	0.001	1
KIA26540	11935	45	160	0	0.05	0.001	1
KIA34755	12920	90	163	0	0.05	0.001	1
KIA35320	12800	90	165.5	0	0.05	0.001	1
KIA34756	13820	80	171.5	0	0.05	0.001	1
KIA35321	13990	80	177.5	0	0.05	0.001	1
KIA34757	13850	80	181.5	0	0.05	0.001	1
KIA35322	14030	80	184.5	0	0.05	0.001	1
KIA35323	14180	80	189.5	0	0.05	0.001	1
KIA23973	14500	70	192	0	0.05	0.001	1
KIA35324	14270	80	195.5	0	0.05	0.001	1
KIA34758	14430	90	200.5	0	0.05	0.001	1
