id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
KIA35324	14270	80	195.5	0	0.05	0.001	1
KIA34758	14430	90	200.5	0	0.05	0.001	1
KIA35325	15050	90	204.5	0	0.05	0.001	1
KIA35326	15580	90	209.5	0	0.05	0.001	1
KIA34759	15500	95	212.5	0	0.05	0.001	1
KIA35327	15350	90	217.5	0	0.05	0.001	1
KIA34760	16060	80	223.5	0	0.05	0.001	1
KIA35328	16750	110	231	0	0.05	0.001	1
KIA35329	16830	110	237	0	0.05	0.001	1
KIA26541	16867	65	248	0	0.05	0.001	1
KIA34761	17300	90	254.5	0	0.05	0.001	1
KIA26550	18042	65	268	0	0.05	0.001	1
