id Age Error Depth Thickness Outlier1 Outlier2 Type
SUERC-4667 12752 46 5.5 1 0.05 0.001 1
SUERC-4668 8591 29 10.5 1 0.05 0.001 1
SUERC-4669 11431 39 20.5 1 0.05 0.001 1
SUERC-4670 9700 33 40.5 1 0.05 0.001 1
SUERC-4673 13344 50 60.5 1 0.05 0.001 1
SUERC-4674 13897 53 75.5 1 0.05 0.001 1
SUERC-4675 14289 57 85.5 1 0.05 0.001 1
SUERC-4676 14542 60 100.5 1 0.05 0.001 1
SUERC-4677 15395 73 110.5 1 0.05 0.001 1
SUERC-4679 16690 84 125.5 1 0.05 0.001 1
SUERC-4680 21050 120 140.5 1 0.05 0.001 1
SUERC-4683 29633 335 170.5 1 0.05 0.001 1
SUERC-4684 34687 628 190.5 1 0.05 0.001 1
