id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
5208	15650	180	113	0	0.05	0.001	1
5207	16510	210	117	0	0.05	0.001	1
SUERC25631	16698	50	119	0	0.05	0.001	1
5209	17030	200	121	0	0.05	0.001	1
3816	17400	120	125	0	0.05	0.001	1
2424	18220	100	133	0	0.05	0.001	1
2425	18070	130	137	0	0.05	0.001	1
2426	19060	130	145	0	0.05	0.001	1
2427	20580	130	161	0	0.05	0.001	1
3830	21730	100	173	0	0.05	0.001	1
2429	22440	160	187	0	0.05	0.001	1
3831	23390	110	197	0	0.05	0.001	1
2430	24520	200	207	0	0.05	0.001	1
SUERC25640	25407	85	219	0	0.05	0.001	1
3833	25970	130	225	0	0.05	0.001	1
2432	26550	250	241	0	0.05	0.001	1
