id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
2337	11535	50	73	0	0.05	0.001	1
2414	11909	60	77	0	0.05	0.001	1
2416	13060	60	85	0	0.05	0.001	1
2417	13000	60	89	0	0.05	0.001	1
2418	13130	60	91	0	0.05	0.001	1
3825	13220	110	95	0	0.05	0.001	1
3827	13140	60	99	1	0.05	0.001	1
3906	13080	60	99	1	0.05	0.001	1
5007	13080	70	99	1	0.05	0.001	1
5009	13150	60	99	1	0.05	0.001	1
5010	12960	60	99	1	0.05	0.001	1
3812	14349	70	109	1	0.05	0.001	1
5214	14349	60	109	1	0.05	0.001	1
5216	14549	80	109	1	0.05	0.001	1
5208	14500	180	113	0	0.05	0.001	1
5207	15098	210	117	0	0.05	0.001	1
