id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
5208	14500	180	113	0	0.05	0.001	1
5207	15098	210	117	0	0.05	0.001	1
SUERC25631	15414	50	119	0	0.05	0.001	1
5209	15333	200	121	0	0.05	0.001	1
3816	15413	120	125	0	0.05	0.001	1
2424	16280	100	133	0	0.05	0.001	1
2425	16473	130	137	0	0.05	0.001	1
2426	17733	130	145	0	0.05	0.001	1
2427	19673	130	161	0	0.05	0.001	1
3830	21430	100	173	0	0.05	0.001	1
2429	22140	160	187	0	0.05	0.001	1
3831	23090	110	197	0	0.05	0.001	1
2430	24220	200	207	0	0.05	0.001	1
SUERC25640	25107	85	219	0	0.05	0.001	1
3833	25670	130	225	0	0.05	0.001	1
2432	26250	250	241	0	0.05	0.001	1
