id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
2329	1685	30	1	1	0.05	0.001	1
2330	2175	30	1	1	0.05	0.001	1
SUERC25165	2062	35	5	0	0.05	0.001	1
SUERC25166	2645	37	9	0	0.05	0.001	1
SUERC25167	3425	37	15	0	0.05	0.001	1
2331	4605	35	21	0	0.05	0.001	1
SUERC25170	5387	37	25	0	0.05	0.001	1
SUERC25171	6206	37	31	0	0.05	0.001	1
SUERC25172	6432	36	35	0	0.05	0.001	1
2332	8090	40	41	0	0.05	0.001	1
3838	9220	40	45	1	0.05	0.001	1
3819	9210	50	45	1	0.05	0.001	1
3818	8770	50	45	1	0.05	0.001	1
2333	9260	40	49	0	0.05	0.001	1
12329	9490	50	53	1	0.05	0.001	1
12330	9760	50	53	1	0.05	0.001	1
2335	10000	45	55	0	0.05	0.001	1
3823	10170	50	59	1	0.05	0.001	1
3905	10270	60	59	1	0.05	0.001	1
3824	10370	50	59	1	0.05	0.001	1
12335	10300	50	61	1	0.05	0.001	1
12336	10430	50	61	1	0.05	0.001	1
12337	10490	50	63	1	0.05	0.001	1
12338	10520	50	63	1	0.05	0.001	1
2336	11100	50	67	0	0.05	0.001	1
2337	11535	50	73	0	0.05	0.001	1
2414	11909	60	77	0	0.05	0.001	1
2416	13060	60	85	0	0.05	0.001	1
2417	13000	60	89	0	0.05	0.001	1
2418	13130	60	91	0	0.05	0.001	1
3825	13220	110	95	0	0.05	0.001	1
3827	13140	60	99	1	0.05	0.001	1
3906	13080	60	99	1	0.05	0.001	1
5007	13080	70	99	1	0.05	0.001	1
5009	13150	60	99	1	0.05	0.001	1
5010	12960	60	99	1	0.05	0.001	1
3812	14349	70	109	1	0.05	0.001	1
5214	14349	60	109	1	0.05	0.001	1
5216	14549	80	109	1	0.05	0.001	1
5208	14500	180	113	0	0.05	0.001	1
5207	15098	210	117	0	0.05	0.001	1
SUERC25631	15414	50	119	0	0.05	0.001	1
5209	15333	200	121	0	0.05	0.001	1
3816	15413	120	125	0	0.05	0.001	1
2424	16280	100	133	0	0.05	0.001	1
2425	16473	130	137	0	0.05	0.001	1
2426	17733	130	145	0	0.05	0.001	1
2427	19673	130	161	0	0.05	0.001	1
3830	21430	100	173	0	0.05	0.001	1
2429	22140	160	187	0	0.05	0.001	1
3831	23090	110	197	0	0.05	0.001	1
2430	24220	200	207	0	0.05	0.001	1
SUERC25640	25107	85	219	0	0.05	0.001	1
3833	25670	130	225	0	0.05	0.001	1
2432	26250	250	241	0	0.05	0.001	1
