id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
GIF98318	11000	100	152.5	0	0.05	0.001	1
GIF98319	14010	130	221.5	1	0.05	0.001	1
KIA13457	13530	80	221.5	1	0.05	0.001	1
KIA13458	13770	70	239.5	0	0.05	0.001	1
KIA13459	14420	70	257.5	0	0.05	0.001	1
KIA13632	14470	70	266.5	0	0.05	0.001	1
KIA13633	14470	70	275.5	0	0.05	0.001	1
KIA13460	14450	90	278.5	0	0.05	0.001	1
KIA13634	14600	80	281.5	0	0.05	0.001	1
GIF98320	14910	130	290.5	0	0.05	0.001	1
GIF98321	20810	220	488.5	0	0.05	0.001	1
GIF98322	21050	140	512.5	0	0.05	0.001	1
GIF98323	22600	190	572.5	0	0.05	0.001	1
GIF98324	25830	250	722.5	0	0.05	0.001	1
KIA13635	30460	380	821	0	0.05	0.001	1
GIF98325	32890	490	866.5	0	0.05	0.001	1
