id Age Error Depth Thickness Outlier1 Outlier2 Type
GifA96291 8220 80 225.5 1 0.05 0.001 1
92011 9300 90 250.5 1 0.05 0.001 1
92017 9830 140 270.5 1 0.05 0.001 1
92003 10080 90 285.5 1 0.05 0.001 1
92012 10310 120 305.5 1 0.05 0.001 1
92186 11460 120 315.5 1 0.05 0.001 1
92014 10820 120 325.5 1 0.05 0.001 1
92174 12800 130 345.5 1 0.05 0.001 1
92004 13860 120 355.5 1 0.05 0.001 1
92175 14100 140 370.5 1 0.05 0.001 1
92052 15110 140 380.5 1 0.05 0.001 1
92006 16100 140 400.5 1 0.05 0.001 1
92176 16920 180 420.5 1 0.05 0.001 1

