id Age Error Depth Thickness Outlier1 Outlier2 Type
92006 16100 140 400.5 1 0.05 0.001 1
92176 16920 180 420.5 1 0.05 0.001 1
92005 18420 270 440.5 1 0.05 0.001 1
92183 19310 230 455.5 1 0.05 0.001 1
Unknown1 20770 210 485 0 0.05 0.001 1
Unknown2 21420 230 495 0 0.05 0.001 1
Unknown3 23780 270 510 0 0.05 0.001 1
Unknown4 24730 310 520 1 0.05 0.001 1
Unknown5 26350 330 530 0 0.05 0.001 1
Unknown6 28680 440 560 0 0.05 0.001 1
Unknown7 30400 520 585 0 0.05 0.001 1
Unknown8 31640 640 595 0 0.05 0.001 1
