id Age Error Depth Thickness Outlier1 Outlier2 Type
GifA96281 730 50 1 2 0.05 0.001 1
GifA96283 935 45 1 2 0.05 0.001 1
GifA96284 1280 50 20.5 1 0.05 0.001 1
GifA96285 2570 50 50.5 1 0.05 0.001 1
GifA96286 3230 50 80.5 1 0.05 0.001 1
92002 3520 90 95.5 1 0.05 0.001 1
GifA96289 6290 70 150.5 1 0.05 0.001 1
GifA96290 7630 70 180.5 1 0.05 0.001 1
92010 7990 110 200.5 1 0.05 0.001 1
92173 8010 90 200.5 1 0.05 0.001 1
GifA96291 8220 80 225.5 1 0.05 0.001 1
92011 9300 90 250.5 1 0.05 0.001 1
92017 9830 140 270.5 1 0.05 0.001 1
92003 10080 90 285.5 1 0.05 0.001 1
92012 10310 120 305.5 1 0.05 0.001 1
92186 11460 120 315.5 1 0.05 0.001 1
92014 10820 120 325.5 1 0.05 0.001 1
92174 12800 130 345.5 1 0.05 0.001 1
92004 13860 120 355.5 1 0.05 0.001 1
92175 14100 140 370.5 1 0.05 0.001 1
92052 15110 140 380.5 1 0.05 0.001 1
92006 16100 140 400.5 1 0.05 0.001 1
92176 16920 180 420.5 1 0.05 0.001 1
92005 18420 270 440.5 1 0.05 0.001 1
92183 19310 230 455.5 1 0.05 0.001 1
Unknown1 20770 210 485 0 0.05 0.001 1
Unknown2 21420 230 495 0 0.05 0.001 1
Unknown3 23780 270 510 0 0.05 0.001 1
Unknown4 24730 310 520 1 0.05 0.001 1
Unknown5 26350 330 530 0 0.05 0.001 1
Unknown6 28680 440 560 0 0.05 0.001 1
Unknown7 30400 520 585 0 0.05 0.001 1
Unknown8 31640 640 595 0 0.05 0.001 1
