id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	5820	60	65	0	0.05	0.001	1
Unknown2	10050	40	97	0	0.05	0.001	1
Unknown3	10850	55	112	0	0.05	0.001	1
Unknown4	12300	50	127	0	0.05	0.001	1
Unknown5	12650	50	137	1	0.05	0.001	1
Unknown6	12700	50	137	1	0.05	0.001	1
Unknown7	12800	50	161	0	0.05	0.001	1
Unknown8	14100	50	199	0	0.05	0.001	1
Unknown9	14300	150	207	0	0.05	0.001	1
Unknown10	14750	65	221	0	0.05	0.001	1
Unknown11	15200	80	257	0	0.05	0.001	1
Unknown12	15500	70	261	0	0.05	0.001	1
Unknown13	15650	60	287	0	0.05	0.001	1
Unknown14	16550	80	355	0	0.05	0.001	1
Unknown15	16850	80	400	0	0.05	0.001	1
Unknown16	17200	90	407	0	0.05	0.001	1
