id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	9010	50	205.5	3	0.05	0.001	1
Unknown2	10960	90	274.5	3	0.05	0.001	1
Unknown3	12900	50	288.5	3	0.05	0.001	1
Unknown4	13050	60	300.5	3	0.05	0.001	1
Unknown5	14930	60	337.5	3	0.05	0.001	1
Unknown6	15540	80	354.5	3	0.05	0.001	1
Unknown7	16280	60	320.5	3	0.05	0.001	1
Unknown8	16660	70	395.5	3	0.05	0.001	1
Unknown9	17190	80	409.5	3	0.05	0.001	1
Unknown10	17670	100	444.5	3	0.05	0.001	1
Unknown11	18730	120	469.5	3	0.05	0.001	1
Unknown12	24960	200	607.5	3	0.05	0.001	1
Unknown13	29040	380	744.5	3	0.05	0.001	1
