id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	1130	50	17	2	0.05	0.001	1
Unknown2	1390	40	29	2	0.05	0.001	1
Unknown3	1600	40	53	2	0.05	0.001	1
Unknown4	2550	40	65	2	0.05	0.001	1
Unknown5	2100	40	75	2	0.05	0.001	1
Unknown6	4290	40	89	2	0.05	0.001	1
Unknown7	4220	40	101	2	0.05	0.001	1
Unknown8	5080	40	123	2	0.05	0.001	1
Unknown9	7100	40	158	2	0.05	0.001	1
Unknown10	7590	40	186	2	0.05	0.001	1
Unknown11	9280	60	202	2	0.05	0.001	1
Unknown12	10520	40	230	2	0.05	0.001	1
Unknown13	11780	40	259	2	0.05	0.001	1
Unknown14	11780	40	278	2	0.05	0.001	1
Unknown15	13030	40	324	2	0.05	0.001	1
