id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
40764	770	70	33	0	0.05	0.001	1
34219	900	70	55	1	0.05	0.001	1
40765	950	100	55	1	0.05	0.001	1
46644	1010	50	105	0	0.05	0.001	1
40766	1330	90	128	0	0.05	0.001	1
16930	1780	60	203	0	0.05	0.001	1
40767	2160	100	274	0	0.05	0.001	1
9650	2490	70	363	1	0.05	0.001	1
34220	2660	50	363	1	0.05	0.001	1
40768	2590	190	426	0	0.05	0.001	1
40769	3130	80	480	0	0.05	0.001	1
7827	3390	80	567	1	0.05	0.001	1
34221	3520	70	567	1	0.05	0.001	1
8148	3570	90	567	1	0.05	0.001	1
16932	4700	70	704	1	0.05	0.001	1
34222	4740	70	704	1	0.05	0.001	1
7828	6100	90	871	1	0.05	0.001	1
34223	5900	80	871	1	0.05	0.001	1
46647	7600	50	1103	0	0.05	0.001	1
33470	7910	70	1147	0	0.05	0.001	1
33472	8060	80	1170	0	0.05	0.001	1
16933	8030	100	1177	1	0.05	0.001	1
16934	8120	110	1177	1	0.05	0.001	1
34224	8000	70	1177	1	0.05	0.001	1
33474	8860	50	1345	0	0.05	0.001	1
8149	8950	100	1391	0	0.05	0.001	1
16935	8680	80	1398	1	0.05	0.001	1
7829	9040	160	1398	1	0.05	0.001	1
36986	8880	60	1415	0	0.05	0.001	1
33476	8600	60	1435	0	0.05	0.001	1
33477	8980	50	1510	0	0.05	0.001	1
32002	9070	70	1522	0	0.05	0.001	1
16923	10080	80	1606	2	0.05	0.001	1
Unknown1	10130	60	1619	2	0.05	0.001	1
Unknown2	10210	90	1652	2	0.05	0.001	1
Unknown3	10260	70	1684	3	0.05	0.001	1
Unknown4	10160	70	1697	3	0.05	0.001	1
Unknown5	10540	60	1725	2	0.05	0.001	1
Unknown6	10570	80	1759	3	0.05	0.001	1
Unknown7	10650	190	1759	3	0.05	0.001	1
Unknown8	10510	100	1761	3	0.05	0.001	1
Unknown9	10860	290	1860	2	0.05	0.001	1
Unknown10	10140	90	1872	3	0.05	0.001	1
Unknown11	10920	240	1876	3	0.05	0.001	1
Unknown12	10870	190	1926	2	0.05	0.001	1
Unknown13	11400	250	1998	2	0.05	0.001	1
Unknown14	11350	480	2004	2	0.05	0.001	1
Unknown15	11810	240	2040	3	0.05	0.001	1
Unknown16	12340	70	2196	3	0.05	0.001	1
Unknown17	12990	170	2426	3	0.05	0.001	1
Unknown18	13800	280	2544	2	0.05	0.001	1
Unknown19	14490	130	2559	3	0.05	0.001	1
Unknown20	14690	140	2582	2	0.05	0.001	1
Unknown21	14740	180	2632	2	0.05	0.001	1
Unknown22	15040	230	2683	2	0.05	0.001	1
Unknown23	14940	160	2725	2	0.05	0.001	1
Unknown24	15550	140	2874	3	0.05	0.001	1
Unknown25	16080	190	2961	2	0.05	0.001	1
Unknown26	16630	190	3035.6	3	0.05	0.001	1
Unknown27	17220	140	3140	3	0.05	0.001	1
Unknown28	18250	670	3154	3	0.05	0.001	1
Unknown29	20410	140	3573	2	0.05	0.001	1
Unknown30	23640	380	4122	2	0.05	0.001	1
Unknown31	24380	510	4129	2	0.05	0.001	1
Unknown32	23030	280	4136	2	0.05	0.001	1
Unknown33	24080	150	4174	2	0.05	0.001	1
Unknown34	25030	400	4180	2	0.05	0.001	1
Unknown35	24570	250	4189	2	0.05	0.001	1
Unknown36	24580	320	4237	2	0.05	0.001	1
Unknown37	25530	260	4318	3	0.05	0.001	1
