id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
OS-34407	1060	25	0.5	1	0.05	0.001	1
OS-27541	1190	35	1	2	0.05	0.001	1
OS-34422	1330	35	1.5	1	0.05	0.001	1
OS-26146	1060	30	6	2	0.05	0.001	1
OS-26148	1710	55	36	2	0.05	0.001	1
OS-34414	3090	30	57.5	1	0.05	0.001	1
OS-26149	2910	35	66	2	0.05	0.001	1
OS-34409	3290	35	74.5	1	0.05	0.001	1
OS-27542	3670	40	86	2	0.05	0.001	1
OS-34408	4490	25	104.5	1	0.05	0.001	1
OS-27543	4880	50	116	2	0.05	0.001	1
OS-26151	6240	65	136	2	0.05	0.001	1
OS-34411	7230	70	161.5	1	0.05	0.001	1
OS-26147	7580	50	171	2	0.05	0.001	1
OS-34415	8830	45	196	2	0.05	0.001	1
OS-34416	9640	45	216	2	0.05	0.001	1
OS-26150	9620	50	231	2	0.05	0.001	1
OS-34410	9780	70	249.5	1	0.05	0.001	1
OS-34417	10900	55	296	2	0.05	0.001	1
Unknown1	11050	50	301	0	0.05	0.001	1
Unknown2	12050	75	316	1	0.05	0.001	1
Unknown3	12100	60	316	1	0.05	0.001	1
Unknown4	12200	55	331.5	1	0.05	0.001	1
Unknown5	12450	60	331.5	1	0.05	0.001	1
Unknown6	12550	50	341	0	0.05	0.001	1
Unknown7	12800	70	346	0	0.05	0.001	1
Unknown8	13100	55	356	1	0.05	0.001	1
Unknown9	12700	90	356	1	0.05	0.001	1
Unknown10	13250	55	366	1	0.05	0.001	1
Unknown11	13050	100	366	1	0.05	0.001	1
Unknown12	15300	80	381	0	0.05	0.001	1
Unknown13	15350	80	402	0	0.05	0.001	1
Unknown14	15450	55	412	0	0.05	0.001	1
Unknown15	16000	75	427.5	0	0.05	0.001	1
Unknown16	16450	75	432	0	0.05	0.001	1
Unknown17	16650	95	442	0	0.05	0.001	1
Unknown18	17200	85	452	0	0.05	0.001	1
Unknown19	17750	80	472	0	0.05	0.001	1
Unknown20	18500	65	492	0	0.05	0.001	1
