id Age Error Depth Thickness Outlier1 Outlier2 Type
OS-34407 636 25 0.5 1 0.05 0.2 1
OS-27541 711 35 1 2 0.05 0.2 1
OS-34422 895 35 1.5 1 0.05 0.2 1
OS-26146 636 30 6 2 0.05 0.2 1
OS-26148 1266 55 36 2 0.05 0.001 1
OS-34414 2847 30 57.5 1 0.05 0.001 1
OS-26149 2708 35 66 2 0.05 0.001 1
OS-34409 3135 35 74.5 1 0.05 0.001 1
OS-27542 3571 40 86 2 0.05 0.001 1
OS-34408 4685 25 104.5 1 0.05 0.001 1
OS-27543 5240 50 116 2 0.05 0.001 1
OS-26151 6672 65 136 2 0.05 0.001 1
OS-34411 7672 70 161.5 1 0.05 0.001 1
OS-26147 8013 50 171 2 0.05 0.001 1
OS-34415 8819 45 196 2 0.05 0.001 1
OS-34416 9717 45 216 2 0.05 0.001 1
OS-26150 9733 50 231 2 0.05 0.001 1
OS-34410 9891 70 249.5 1 0.05 0.001 1
OS-34417 11471 55 296 2 0.05 0.001 1
