id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
KIA4057	2740	50	0.7	0	0.05	0.001	1
KIA4064	4770	50	4	0	0.05	0.001	1
KIA4086	7710	40	9	1	0.05	0.001	1
KIA7248	7860	50	9	1	0.05	0.001	1
KIA4085	9560	50	14	0	0.05	0.001	1
KIA4084	12040	60	19	0	0.05	0.001	1
KIA4055	12640	90	20.2	0	0.05	0.001	1
KIA4074	15580	130	24	1	0.05	0.001	1
KIA7226	16040	80	24	1	0.05	0.001	1
KIA4072	18610	170	34	0	0.05	0.001	1
KIA4071	30520	660	38	0	0.05	0.001	1
KIA7227	34410	620	44	0	0.05	0.001	1
KIA4068	38140	1870	48	0	0.05	0.001	1
KIA4067	41240	2840	54	0	0.05	0.001	1
