id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
SUERC21416	9739	38	426.5	1	0.05	0.001	1
SUERC14086	10198	40	432.5	1	0.05	0.001	1
SUERC21417	10358	42	442.5	1	0.05	0.001	1
SUERC21418	10796	39	452.5	1	0.05	0.001	1
SUERC14087	10965	40	458.5	1	0.05	0.001	1
SUERC21419	11808	41	463.5	1	0.05	0.001	1
OS-75478	11650	50	465.5	1	0.05	0.001	1
OS-75502	11750	50	467.5	1	0.05	0.001	1
OS-75503	11900	45	469.5	1	0.05	0.001	1
OS-75504	12000	50	471.5	1	0.05	0.001	1
SUERC14089	11811	42	472.5	1	0.05	0.001	1
SUERC21420	11816	39	477.5	1	0.05	0.001	1
OS-75506	12250	45	481.5	1	0.05	0.001	1
OS-75507	12100	45	483.5	1	0.05	0.001	1
SUERC21421	11793	49	485.5	1	0.05	0.001	1
SUERC21422	12155	40	491.5	1	0.05	0.001	1
SUERC21423	12560	39	497.5	1	0.05	0.001	1
SUERC14090	12636	43	500.5	1	0.05	0.001	1
SUERC21427	12487	43	507.5	1	0.05	0.001	1
SUERC21428	14281	44	515.5	1	0.05	0.001	1
SUERC14091	14657	48	520.5	1	0.05	0.001	1
							
