id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
SUERC14108	11897	42	954.5	1	0.05	0.001	1
SUERC14109	12754	43	966.5	1	0.05	0.001	1
OS-79027 	12850	55	973	2	0.05	0.001	1
OS-79028 	13450	60	977.5	1	0.05	0.001	1
SUERC14110	13528	45	978.5	1	0.05	0.001	1
OS-79029 	14100	55	983	2	0.05	0.001	1
SUERC14111	15087	50	986.5	1	0.05	0.001	1
OS-79030 	15300	65	988.5	1	0.05	0.001	1
OS-79060 	15750	60	991.5	3	0.05	0.001	1
SUERC14114	16207	53	1004.5	1	0.05	0.001	1
OS-79061 	16350	65	1006	2	0.05	0.001	1
OS-79062 	16750	65	1034	2	0.05	0.001	1
SUERC14116	18321	63	1048.5	1	0.05	0.001	1
SUERC14117	23860	107	1103.5	1	0.05	0.001	1
							
							
							
