id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Piotrowski1	5860	50	112	0	0.05	0.001	1
Piotrowski2	8750	40	163	1	0.05	0.001	1
Piotrowski3	8890	60	163	1	0.05	0.001	1
AA5974	9900	66	189	1	0.05	0.001	1
AA5974	10800	90	189	1	0.05	0.001	1
Piotrowski4	10360	40	205	1	0.05	0.001	1
Piotrowski5	10400	60	205	1	0.05	0.001	1
AA5975	11940	80	221	1	0.05	0.001	1
AA5975	11930	100	221	1	0.05	0.001	1
AA5976	12040	80	231	1	0.05	0.001	1
AA5976	12190	120	231	1	0.05	0.001	1
AA5977	12790	110	248	1	0.05	0.001	1
AA5977	13020	90	248	1	0.05	0.001	1
AA5978	13230	110	262	0	0.05	0.001	1
Piotrowski6	13000	70	277	1	0.05	0.001	1
Piotrowski7	13400	90	277	1	0.05	0.001	1
AA5979	14310	110	298	0	0.05	0.001	1
AA5980	15620	120	335	0	0.05	0.001	1
Piotrowski8	16750	90	368	0	0.05	0.001	1
Piotrowski9	17250	110	390	0	0.05	0.001	1
OS3457	17700	670	426	0	0.05	0.001	1
OS3458	19600	670	477	0	0.05	0.001	1
OS3530	21300	960	546	0	0.05	0.001	1
OS3529	24100	960	644	0	0.05	0.001	1
OS3528	28400	960	756	0	0.05	0.001	1
OS3531	32000	2100	844	0	0.05	0.001	1
OS3459	35800	2100	943	0	0.05	0.001	1
