id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Piotrowski1	5860	50	112	0	0.05	0.001	1
Piotrowski2	8750	40	163	1	0.05	0.001	1
Piotrowski3	8890	60	163	1	0.05	0.001	1
AA5974	9900	66	189	1	0.05	0.001	1
AA5974	10800	90	189	1	0.05	0.001	1
Piotrowski4	10360	40	205	1	0.05	0.001	1
Piotrowski5	10400	60	205	1	0.05	0.001	1
AA5975	11940	80	221	1	0.05	0.001	1
AA5975	11930	100	221	1	0.05	0.001	1
AA5976	12040	80	231	1	0.05	0.001	1
AA5976	12190	120	231	1	0.05	0.001	1
AA5977	12790	110	248	1	0.05	0.001	1
AA5977	13020	90	248	1	0.05	0.001	1
