id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Piotrowski1	5560	50	112	0	0.05	0.001	1
Piotrowski2	8450	40	163	1	0.05	0.001	1
Piotrowski3	8590	60	163	1	0.05	0.001	1
AA5974	9600	66	189	1	0.05	0.001	1
AA5974	10500	90	189	1	0.05	0.001	1
Piotrowski4	10060	40	205	1	0.05	0.001	1
Piotrowski5	10100	60	205	1	0.05	0.001	1
AA5975	11580	80	221	1	0.05	0.001	1
AA5975	11570	100	221	1	0.05	0.001	1
AA5976	11573	80	231	1	0.05	0.001	1
AA5976	11723	120	231	1	0.05	0.001	1
AA5977	12099	110	248	1	0.05	0.001	1
AA5977	12329	90	248	1	0.05	0.001	1
AA5978	12897	110	262	0	0.05	0.001	1
Piotrowski6	12634	70	277	1	0.05	0.001	1
Piotrowski7	13034	90	277	1	0.05	0.001	1
AA5979	13705	110	298	0	0.05	0.001	1
AA5980	14516	120	335	0	0.05	0.001	1
Piotrowski8	15401	90	368	0	0.05	0.001	1
Piotrowski9	15381	110	390	0	0.05	0.001	1
OS3457	15888	670	426	0	0.05	0.001	1
OS3458	18422	670	477	0	0.05	0.001	1
OS3530	20773	960	546	0	0.05	0.001	1
OS3529	23800	960	644	0	0.05	0.001	1
OS3528	28100	960	756	0	0.05	0.001	1
OS3531	31700	2100	844	0	0.05	0.001	1
OS3459	35500	2100	943	0	0.05	0.001	1
