id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
NZA6684	1167	73	1.5	3	0.05	0.001	1
OZC987	9530	120	40.5	1	0.05	0.001	1
OZD257	10100	160	44.5	1	0.05	0.001	1
OZC610	11870	180	48.5	1	0.05	0.001	1
OZD258	11850	170	52.5	1	0.05	0.001	1
OZC609	11900	110	57.5	1	0.05	0.001	1
OZD259	11850	560	58.5	1	0.05	0.001	1
OZC988	13650	140	65.5	1	0.05	0.001	1
OZC989	14070	140	74.5	1	0.05	0.001	1
NZA6639	15360	130	81.5	3	0.05	0.001	1
OZC990	16450	130	89.5	1	0.05	0.001	1
OZC991	18150	180	99	1	0.05	0.001	1
OZD260	23300	340	108.5	1	0.05	0.001	1
OZC992	30700	500	118.5	1	0.05	0.001	1
