id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
SUERC-13140	3727	35	2.5	1	0.05	0.001	1
SUERC-13141	6039	35	12	1	0.05	0.001	1
SUERC-13142	9170	35	18	1	0.05	0.001	1
SUERC-13143	9038	35	22	1	0.05	0.001	1
SUERC-13144	11896	38	26	1	0.05	0.001	1
SUERC-13147	13048	39	30	1	0.05	0.001	1
SUERC-13148	14341	43	36	1	0.05	0.001	1
SUERC-13149	14117	42	40	1	0.05	0.001	1
SUERC-13150	17909	44	44	1	0.05	0.001	1
SUERC-13665	17841	61	52	1	0.05	0.001	1
ANU-5020	21580	80	58	1	0.05	0.001	1
SUERC-13669	22409	94	64	1	0.05	0.001	1
SUERC-13671	28849	189	78	1	0.05	0.001	1
