id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	1230	60	7.5	0	0.05	0.001	1
Unknown2	3350	100	35	0	0.05	0.001	1
Unknown3	5540	90	55	0	0.05	0.001	1
Unknown4	7850	90	70	0	0.05	0.001	1
Unknown5	8700	120	80	0	0.05	0.001	1
Unknown6	10580	120	97.5	0	0.05	0.001	1
Unknown7	11780	130	115	0	0.05	0.001	1
Unknown8	13060	150	127.5	0	0.05	0.001	1
Unknown9	14200	170	142.5	0	0.05	0.001	1
Unknown10	15880	170	160	0	0.05	0.001	1
Unknown11	16260	170	165	0	0.05	0.001	1
Unknown12	17130	180	180	0	0.05	0.001	1
Unknown13	20580	260	197.5	0	0.05	0.001	1
Unknown14	21860	290	210	0	0.05	0.001	1
Unknown15	22820	320	225	0	0.05	0.001	1
Unknown16	24840	430	262.5	0	0.05	0.001	1
Unknown17	25830	410	272.5	0	0.05	0.001	1
Unknown18	29540	610	295	0	0.05	0.001	1
Unknown19	30230	650	305	0	0.05	0.001	1
