id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
ETH-10025	4290	60	1	0	0.05	0.001	1
ETH-10026	10040	70	51	0	0.05	0.001	1
KIA2721	16240	110	95	0	0.05	0.001	1
ETH-10027	16640	120	102	0	0.05	0.001	1
KIA4234	17360	70	110	0	0.05	0.001	1
KIA2722	18550	150	120	0	0.05	0.001	1
KIA2723	18910	140	128	0	0.05	0.001	1
KIA2724	20130	160	134	1	0.05	0.001	1
KIA4235	19610	60	134	1	0.05	0.001	1
KIA2725	18570	150	138	0	0.05	0.001	1
KIA2726	20250	170	145	0	0.05	0.001	1
KIA2727	20790	190	152	0	0.05	0.001	1
KIA2728	21070	170	156	0	0.05	0.001	1
KIA2729	20410	180	160	0	0.05	0.001	1
KIA2730	22010	190	164	0	0.05	0.001	1
KIA2731	22700	210	168	0	0.05	0.001	1
ETH-12042	22570	150	171	0	0.05	0.001	1
KIA2732	23150	220	172	0	0.05	0.001	1
KIA1474	23510	210	176	0	0.05	0.001	1
KIA1475	23960	210	182	0	0.05	0.001	1
KIA2274	24810	200	187	0	0.05	0.001	1
KIA1798	24790	250	191	0	0.05	0.001	1
KIA1800	24920	260	195	0	0.05	0.001	1
KIA1801	25640	270	200	0	0.05	0.001	1
KIA1802	25700	280	206	0	0.05	0.001	1
KIA1476	25860	260	214	0	0.05	0.001	1
KIA1477	26780	280	221	0	0.05	0.001	1
KIA1478	26490	290	226	0	0.05	0.001	1
KIA1479	27070	290	230	0	0.05	0.001	1
KIA1480	27220	300	234	0	0.05	0.001	1
KIA1481	27220	320	236	0	0.05	0.001	1
KIA1482	28410	330	240	0	0.05	0.001	1
KIA1483	28690	340	243	0	0.05	0.001	1
KIA1484	28740	360	245	0	0.05	0.001	1
KIA1485	28840	360	253	0	0.05	0.001	1
KIA1803	29050	410	259	0	0.05	0.001	1
KIA1804	29050	410	263	0	0.05	0.001	1
KIA1805	29770	440	274	0	0.05	0.001	1
KIA1806	29890	450	278	0	0.05	0.001	1
KIA1807	30190	470	283	0	0.05	0.001	1
KIA1808	30660	490	286	0	0.05	0.001	1
KIA1809	31120	520	289	0	0.05	0.001	1
KIA1810	30760	510	297	0	0.05	0.001	1
KIA1811	31260	540	304	0	0.05	0.001	1
KIA1812	31570	550	307	0	0.05	0.001	1
KIA1813	31870	590	311	0	0.05	0.001	1
KIA1814	31710	570	315	0	0.05	0.001	1
KIA1815	33300	900	320	0	0.05	0.001	1
KIA2275	33500	530	324	0	0.05	0.001	1
KIA1816	34220	1000	328	0	0.05	0.001	1
KIA2276	34710	610	332	0	0.05	0.001	1
KIA2277	34470	600	339	0	0.05	0.001	1
KIA2278	36260	760	347	0	0.05	0.001	1
KIA2279	36490	810	350	0	0.05	0.001	1
KIA2280	37680	900	354	0	0.05	0.001	1
KIA2281	37400	870	358	0	0.05	0.001	1
KIA2282	37300	860	361	0	0.05	0.001	1
KIA2283	37990	930	364	0	0.05	0.001	1
KIA2284	40080	1230	370	0	0.05	0.001	1
KIA2285	40970	1370	375	0	0.05	0.001	1
KIA2286	42170	1680	379	0	0.05	0.001	1
KIA3825	43800	1420	391	0	0.05	0.001	1
KIA3826	43850	1460	400	0	0.05	0.001	1
KIA5448	44640	520	406	0	0.05	0.001	1
KIA5449	45030	580	412	1	0.05	0.001	1
KIA3827	42180	1150	412	1	0.05	0.001	1
KIA3830	40060	870	460	0	0.05	0.001	1
