id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
ETH-10025	4290	60	1	0	0.05	0.001	1
ETH-10026	10040	70	51	0	0.05	0.001	1
KIA2721	16240	110	95	0	0.05	0.001	1
ETH-10027	16640	120	102	0	0.05	0.001	1
KIA4234	17360	70	110	0	0.05	0.001	1
KIA2722	18550	150	120	0	0.05	0.001	1
KIA2723	18910	140	128	0	0.05	0.001	1
KIA2724	20130	160	134	1	0.05	0.001	1
KIA4235	19610	60	134	1	0.05	0.001	1
KIA2725	18570	150	138	0	0.05	0.001	1
KIA2726	20250	170	145	0	0.05	0.001	1
KIA2727	20790	190	152	0	0.05	0.001	1
KIA2728	21070	170	156	0	0.05	0.001	1
