id Age Error Depth Thickness Outlier1 Outlier2 Type
KIA2275 33500 530 324 0 0.05 0.001 1
KIA1816 34220 1000 328 0 0.05 0.001 1
KIA2276 34710 610 332 0 0.05 0.001 1
KIA2277 34470 600 339 0 0.05 0.001 1
KIA2278 36260 760 347 0 0.05 0.001 1
KIA2279 36490 810 350 0 0.05 0.001 1
KIA2280 37680 900 354 0 0.05 0.001 1
KIA2281 37400 870 358 0 0.05 0.001 1
KIA2282 37300 860 361 0 0.05 0.001 1
KIA2283 37990 930 364 0 0.05 0.001 1
KIA2284 40080 1230 370 0 0.05 0.001 1
KIA2285 40970 1370 375 0 0.05 0.001 1
KIA2286 42170 1680 379 0 0.05 0.001 1
KIA3825 43800 1420 391 0 0.05 0.001 1
KIA3826 43850 1460 400 0 0.05 0.001 1
KIA5448 44640 520 406 0 0.05 0.001 1
KIA5449 45030 580 412 1 0.05 0.001 1
KIA3827 42180 1150 412 1 0.05 0.001 1
KIA3830 40060 870 460 0 0.05 0.001 1
