id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown10	14360	90	77	1	0.05	0.001	1
Unknown11	14560	90	77	1	0.05	0.001	1
Unknown12	14450	90	80	0	0.05	0.001	1
Unknown13	14740	80	83	0	0.05	0.001	1
Unknown14	16950	100	92	0	0.05	0.001	1
Unknown15	17110	100	98	0	0.05	0.001	1
Unknown16	19140	120	121	0	0.05	0.001	1
Unknown17	22360	140	132	0	0.05	0.001	1
Unknown18	24640	220	138	0	0.05	0.001	1
Unknown19	23970	170	141	0	0.05	0.001	1
Unknown20	27140	220	158	0	0.05	0.001	1
Unknown21	27980	290	165	1	0.05	0.001	1
Unknown22	27640	220	165	1	0.05	0.001	1
Unknown23	31920	330	176	0	0.05	0.001	1
Unknown24	31140	390	182	0	0.05	0.001	1
Unknown25	31360	320	186	0	0.05	0.001	1
Unknown26	35270	500	196	0	0.05	0.001	1
Unknown27	35040	450	197	0	0.05	0.001	1
Unknown28	36290	510	203	0	0.05	0.001	1
Unknown29	37410	560	209	0	0.05	0.001	1
