id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	8080	70	33	0	0.05	0.001	1
Unknown2	11210	80	41	0	0.05	0.001	1
Unknown3	10610	70	50	0	0.5	0.3	1
Unknown4	9850	60	55	0	0.5	0.3	1
Unknown5	11950	80	61	0	0.05	0.001	1
Unknown6	16780	100	64	0	0.5	0.3	1
Unknown7	12220	90	66	0	0.5	0.3	1
Unknown8	14580	80	69	0	0.05	0.001	1
Unknown9	12850	70	72	0	0.5	0.3	1
Unknown10	14360	90	77	1	0.05	0.001	1
Unknown11	14560	90	77	1	0.05	0.001	1
Unknown12	14450	90	80	0	0.05	0.001	1
Unknown13	14740	80	83	0	0.05	0.001	1
Unknown14	16950	100	92	0	0.05	0.001	1
Unknown15	17110	100	98	0	0.05	0.001	1
Unknown16	19140	120	121	0	0.05	0.001	1
Unknown17	22360	140	132	0	0.05	0.001	1
