id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 8080 70 33 0 0.05 0.001 1
Unknown2 11210 80 41 0 0.05 0.001 1
Unknown3 10610 70 50 0 0.05 0.001 1
Unknown4 9850 60 55 0 0.05 0.001 1
Unknown5 11560 80 61 0 0.05 0.001 1
Unknown6 16190 100 64 0 0.05 0.001 1
Unknown7 11660 90 66 0 0.05 0.001 1
Unknown8 13920 80 69 0 0.05 0.001 1
Unknown9 11930 70 72 0 0.05 0.001 1
Unknown10 13070 90 77 1 0.05 0.001 1
Unknown11 13270 90 77 1 0.05 0.001 1
Unknown12 13060 90 80 0 0.05 0.001 1
Unknown13 13200 80 83 0 0.05 0.001 1
Unknown14 15330 100 92 0 0.05 0.001 1
Unknown15 15820 100 98 0 0.05 0.001 1
Unknown16 19140 120 121 0 0.05 0.001 1
Unknown17 22360 140 132 0 0.05 0.001 1
Unknown18 24640 220 138 0 0.05 0.001 1
Unknown19 23970 170 141 0 0.05 0.001 1
Unknown20 27140 220 158 0 0.05 0.001 1
Unknown21 27980 290 165 1 0.05 0.001 1
Unknown22 27640 220 165 1 0.05 0.001 1
Unknown23 31920 330 176 0 0.05 0.001 1
Unknown24 31140 390 182 0 0.05 0.001 1
Unknown25 31360 320 186 0 0.05 0.001 1
Unknown26 35270 500 196 0 0.05 0.001 1
Unknown27 35040 450 197 0 0.05 0.001 1
Unknown28 36290 510 203 0 0.05 0.001 1
Unknown29 37410 560 209 0 0.05 0.001 1
