id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	2070	90	1.5	3	0.05	0.001	1
Unknown2	1820	90	7.5	1	0.05	0.001	1
Unknown3	6260	150	62	2	0.05	0.001	1
Unknown4	9490	200	135.5	1	0.05	0.001	1
Unknown5	10450	200	143.5	1	0.05	0.001	1
Unknown6	10260	190	147.5	1	0.05	0.001	1
Unknown7	11300	140	154.5	7	0.05	0.001	1
Unknown8	10230	200	154.5	7	0.05	0.001	1
Unknown9	11500	200	164.5	1	0.05	0.001	1
Unknown10	10990	190	175.5	1	0.05	0.001	1
Unknown11	10780	190	175.5	1	0.05	0.001	1
Unknown12	11850	200	189	2	0.05	0.001	1
Unknown13	12660	240	194.5	1	0.05	0.001	1
Unknown14	12720	220	198.5	1	0.05	0.001	1
Unknown15	13240	310	206.5	1	0.05	0.001	1
Unknown16	14060	210	215.5	1	0.05	0.001	1
Unknown17	15600	190	234.5	1	0.05	0.001	1
Unknown18	17140	240	293.5	1	0.05	0.001	1
Unknown19	18790	280	335.5	1	0.05	0.001	1
Unknown20	24820	870	384.5	1	0.05	0.001	1
Unknown21	29400	960	418.5	1	0.05	0.001	1
Unknown22	32540	1240	449.5	1	0.05	0.001	1
Unknown23	35640	1810	499.5	1	0.05	0.001	1
