id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	2070	90	1.5	3	0.05	0.001	1
Unknown2	1820	90	7.5	1	0.05	0.001	1
Unknown3	6260	150	62	2	0.05	0.001	1
Unknown4	9490	200	135.5	1	0.05	0.001	1
Unknown5	10450	200	143.5	1	0.05	0.001	1
Unknown6	10260	190	147.5	1	0.05	0.001	1
Unknown7	11300	140	154.5	7	0.05	0.001	1
Unknown8	10230	200	154.5	7	0.05	0.001	1
Unknown9	11500	200	164.5	1	0.05	0.001	1
Unknown10	10990	190	175.5	1	0.05	0.001	1
Unknown11	10780	190	175.5	1	0.05	0.001	1
Unknown12	11850	200	189	2	0.05	0.001	1
