id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 2070 90 1.5 3 0.05 0.001 1
Unknown2 1820 90 7.5 1 0.05 0.001 1
Unknown3 6260 150 62 2 0.05 0.001 1
Unknown4 8900 200 135.5 1 0.05 0.001 1
Unknown5 9900 200 143.5 1 0.05 0.001 1
Unknown6 9690 190 147.5 1 0.05 0.001 1
Unknown7 10640 140 154.5 7 0.05 0.001 1
Unknown8 9570 200 154.5 7 0.05 0.001 1
Unknown9 10630 200 164.5 1 0.05 0.001 1
Unknown10 9830 190 175.5 1 0.05 0.001 1
Unknown11 9620 190 175.5 1 0.05 0.001 1
Unknown12 10530 200 189 2 0.05 0.001 1
Unknown13 11290 240 194.5 1 0.05 0.001 1
Unknown14 11310 220 198.5 1 0.05 0.001 1
