id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown12	11850	200	189	2	0.05	0.001	1
Unknown13	12660	240	194.5	1	0.05	0.001	1
Unknown14	12720	220	198.5	1	0.05	0.001	1
Unknown15	13240	310	206.5	1	0.05	0.001	1
Unknown16	14060	210	215.5	1	0.05	0.001	1
Unknown17	15600	190	234.5	1	0.05	0.001	1
Unknown18	17140	240	293.5	1	0.05	0.001	1
Unknown19	18790	280	335.5	1	0.05	0.001	1
Unknown20	24820	870	384.5	1	0.05	0.001	1
Unknown21	29400	960	418.5	1	0.05	0.001	1
Unknown22	32540	1240	449.5	1	0.05	0.001	1
Unknown23	35640	1810	499.5	1	0.05	0.001	1
