id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown13 11290 240 194.5 1 0.05 0.001 1
Unknown14 11310 220 198.5 1 0.05 0.001 1
Unknown15 11730 310 206.5 1 0.05 0.001 1
Unknown16 12410 210 215.5 1 0.05 0.001 1
Unknown17 13850 190 234.5 1 0.05 0.001 1
Unknown18 16260 240 293.5 1 0.05 0.001 1
Unknown19 18790 280 335.5 1 0.05 0.001 1
Unknown20 24820 870 384.5 1 0.05 0.001 1
Unknown21 29400 960 418.5 1 0.05 0.001 1
Unknown22 32540 1240 449.5 1 0.05 0.001 1
Unknown23 35640 1810 499.5 1 0.05 0.001 1
