id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	2070	90	1.5	3	0.05	0.001	1
Unknown2	1820	90	7.5	1	0.05	0.001	1
Unknown3	2410	100	7.5	1	0.05	0.001	1
Unknown4	6260	150	62	2	0.05	0.001	1
Unknown5	6930	170	62	2	0.05	0.001	1
Unknown6	9490	200	135.5	1	0.05	0.001	1
Unknown7	9890	160	135.5	1	0.05	0.001	1
Unknown8	9610	150	135.5	1	0.05	0.001	1
Unknown9	10120	180	143.5	1	0.05	0.001	1
Unknown10	10450	200	143.5	1	0.05	0.001	1
Unknown11	9600	210	146.5	1	0.05	0.001	1
Unknown12	10260	190	147.5	1	0.05	0.001	1
Unknown13	11300	140	154.5	7	0.05	0.001	1
Unknown14	10230	200	154.5	7	0.05	0.001	1
Unknown15	11500	200	164.5	1	0.05	0.001	1
Unknown16	11500	210	164.5	1	0.05	0.001	1
Unknown17	10530	160	171.5	1	0.05	0.001	1
Unknown18	11170	180	171.5	1	0.05	0.001	1
Unknown19	10960	200	172.5	1	0.05	0.001	1
Unknown20	11860	170	172.5	1	0.05	0.001	1
Unknown21	11140	190	172.5	1	0.05	0.001	1
Unknown22	10990	190	175.5	1	0.05	0.001	1
Unknown23	10780	190	175.5	1	0.05	0.001	1
Unknown24	12240	220	180.5	1	0.05	0.001	1
Unknown25	11990	280	180.5	1	0.05	0.001	1
Unknown26	10500	230	186.5	1	0.05	0.001	1
Unknown27	11540	210	186.5	1	0.05	0.001	1
Unknown28	11850	200	189	2	0.05	0.001	1
Unknown29	11330	230	189	2	0.05	0.001	1
Unknown30	11650	210	189	2	0.05	0.001	1
