id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Unknown1	2070	90	1.5	3	0.05	0.001	1
Unknown2	1820	90	7.5	1	0.05	0.001	1
Unknown3	2410	100	7.5	1	0.05	0.001	1
Unknown4	6260	150	62	2	0.05	0.001	1
Unknown5	6930	170	62	2	0.05	0.001	1
Unknown6	9490	200	135.5	1	0.05	0.001	1
Unknown7	9890	160	135.5	1	0.05	0.001	1
Unknown8	9610	150	135.5	1	0.05	0.001	1
Unknown9	10120	180	143.5	1	0.05	0.001	1
Unknown10	10450	200	143.5	1	0.05	0.001	1
Unknown11	9600	210	146.5	1	0.05	0.001	1
Unknown12	10260	190	147.5	1	0.05	0.001	1
Unknown13	11300	140	154.5	7	0.05	0.001	1
Unknown14	10230	200	154.5	7	0.05	0.001	1
Unknown15	11500	200	164.5	1	0.05	0.001	1
Unknown16	11500	210	164.5	1	0.05	0.001	1
Unknown17	10530	160	171.5	1	0.05	0.001	1
Unknown18	11170	180	171.5	1	0.05	0.001	1
Unknown19	10960	200	172.5	1	0.05	0.001	1
Unknown20	11860	170	172.5	1	0.05	0.001	1
Unknown21	11140	190	172.5	1	0.05	0.001	1
Unknown22	10990	190	175.5	1	0.05	0.001	1
Unknown23	10780	190	175.5	1	0.05	0.001	1
Unknown24	12240	220	180.5	1	0.05	0.001	1
Unknown25	11990	280	180.5	1	0.05	0.001	1
Unknown26	10500	230	186.5	1	0.05	0.001	1
Unknown27	11540	210	186.5	1	0.05	0.001	1
Unknown28	11850	200	189	2	0.05	0.001	1
Unknown29	11330	230	189	2	0.05	0.001	1
Unknown30	11650	210	189	2	0.05	0.001	1
Unknown31	12660	240	194.5	1	0.05	0.001	1
Unknown32	11940	210	194.5	1	0.05	0.001	1
Unknown33	12840	230	194.5	1	0.05	0.001	1
Unknown34	12720	220	198.5	1	0.05	0.001	1
Unknown35	12530	220	198.5	1	0.05	0.001	1
Unknown36	12910	240	198.5	1	0.05	0.001	1
Unknown37	12390	240	201.5	1	0.05	0.001	1
Unknown38	12860	240	201.5	1	0.05	0.001	1
Unknown39	13240	310	206.5	1	0.05	0.001	1
Unknown40	13180	240	206.5	1	0.05	0.001	1
Unknown41	13840	120	210	0	0.05	0.001	1
Unknown42	14000	120	213	0	0.05	0.001	1
Unknown43	14060	210	215.5	1	0.05	0.001	1
Unknown44	14010	100	217	0	0.05	0.001	1
Unknown45	14030	100	219	0	0.05	0.001	1
Unknown46	14550	110	221	0	0.05	0.001	1
Unknown47	14730	100	223	0	0.05	0.001	1
Unknown48	15170	110	227	0	0.05	0.001	1
Unknown49	15440	110	229	0	0.05	0.001	1
Unknown50	15600	190	234.5	1	0.05	0.001	1
Unknown51	17140	240	293.5	1	0.05	0.001	1
Unknown52	20820	180	321	0	0.05	0.001	1
Unknown53	20870	160	323	0	0.05	0.001	1
Unknown54	20970	180	327	0	0.05	0.001	1
Unknown55	21390	170	329	0	0.05	0.001	1
Unknown56	21610	170	331	0	0.05	0.001	1
Unknown57	22100	180	333	0	0.05	0.001	1
Unknown58	18790	280	335.5	1	0.05	0.001	1
Unknown59	22360	190	337	0	0.05	0.001	1
Unknown60	25080	200	371	0	0.05	0.001	1
Unknown61	26670	260	381	0	0.05	0.001	1
Unknown62	24820	870	384.5	1	0.05	0.001	1
Unknown63	29380	320	391	0	0.05	0.001	1
Unknown64	29450	310	393	0	0.05	0.001	1
Unknown65	29400	960	418.5	1	0.05	0.001	1
Unknown66	32540	1240	449.5	1	0.05	0.001	1
Unknown67	35640	1810	499.5	1	0.05	0.001	1
