id Age Error Depth Thickness Outlier1 Outlier2 Type
Unknown1 2070 90 1.5 3 0.05 0.001 1
Unknown2 1820 90 7.5 1 0.05 0.001 1
Unknown3 6260 150 62 2 0.05 0.001 1
Unknown4 9490 200 135.5 1 0.05 0.001 1
Unknown5 10450 200 143.5 1 0.05 0.001 1
Unknown6 10260 190 147.5 1 0.05 0.001 1
Unknown7 11220 140 154.5 7 0.05 0.001 1
Unknown8 10150 200 154.5 7 0.05 0.001 1
Unknown9 11190 200 164.5 1 0.05 0.001 1
Unknown10 10230 190 175.5 1 0.05 0.001 1
Unknown11 10020 190 175.5 1 0.05 0.001 1
Unknown12 11250 200 189 2 0.05 0.001 1
Unknown13 12050 240 194.5 1 0.05 0.001 1
Unknown14 12060 220 198.5 1 0.05 0.001 1
Unknown15 12560 310 206.5 1 0.05 0.001 1
Unknown16 13150 210 215.5 1 0.05 0.001 1
Unknown17 14190 190 234.5 1 0.05 0.001 1
Unknown18 16610 240 293.5 1 0.05 0.001 1
Unknown19 18570 280 335.5 1 0.05 0.001 1
Unknown20 24820 870 384.5 1 0.05 0.001 1
Unknown21 29400 960 418.5 1 0.05 0.001 1
Unknown22 32540 1240 449.5 1 0.05 0.001 1
Unknown23 35640 1810 499.5 1 0.05 0.001 1
