id	Age 	Error	Depth 	Thickness	Outlier1	Outlier2	Type
OZD261	3720	90	32.2	0	0.05	0.001	1
NZA6654	7637	87	76	2	0.05	0.001	1
LL39597	7540	40	76.5	1	0.05	0.001	1
LL39598	7610	40	78.5	1	0.05	0.001	1
LL39599	7700	40	78.5	1	0.05	0.001	1
LL39600	8800	30	95	2	0.05	0.001	1
LL39601	9130	40	97.5	1	0.05	0.001	1
LL39602	8960	40	97.5	1	0.05	0.001	1
OZD262	10950	160	124.2	0	0.05	0.001	1
NZA6655	12820	110	152	2	0.05	0.001	1
NZA6662	12910	140	159.5	1	0.05	0.001	1
LL40465	12940	70	160.5	1	0.05	0.001	1
OZD263	14650	170	186.9	0	0.05	0.001	1
LL40466	14980	70	202.5	1	0.05	0.001	1
NZA6663	14980	120	204	2	0.05	0.001	1
NZA6664	15350	160	207	2	0.05	0.001	1
LL40467	14970	70	208.5	1	0.05	0.001	1
LL40468	14910	70	208.5	1	0.05	0.001	1
OZD264	16250	220	241.9	0	0.05	0.001	1
