id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
OS-22674	1740	30	1	0	0.05	0.001	1
OS-25478	3170	60	16	0	0.05	0.001	1
OS-22675	4450	40	28	1	0.05	0.001	1
OS-22681	4480	55	28	1	0.05	0.001	1
OS-23216	6000	35	40	0	0.05	0.001	1
OS-22676	8510	50	56	0	0.05	0.001	1
OS-27350	9450	50	60	0	0.05	0.001	1
OS-25479	10750	90	64	0	0.05	0.001	1
OS-23210	10600	45	68	0	0.05	0.001	1
OS-23211	11400	50	80	0	0.05	0.001	1
OS-23212	12200	50	88	0	0.05	0.001	1
OS-22677	12450	60	92	0	0.05	0.001	1
OS-23318	13550	60	104	0	0.05	0.001	1
OS-23317	13650	60	112	0	0.05	0.001	1
OS-23213	14850	120	141	0	0.05	0.001	1
OS-22678	12350	65	148	0	0.05	0.001	1
OS-22679	19300	95	200	0	0.05	0.001	1
