id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
AA2483	1260	55	1	2	0.05	0.001	1
WH261	1890	140	30	2	0.05	0.001	1
AA4190	3010	55	59	2	0.05	0.001	1
AA1806	2940	65	65	2	0.05	0.001	1
AA4226	3560	60	85	2	0.05	0.001	1
AA3430	4710	140	102	4	0.05	0.001	1
AA2483b	4540	110	103	2	0.05	0.001	1
AA4227	4920	60	113	2	0.05	0.001	1
AA1808	7770	90	155	2	0.05	0.001	1
AA1806b	9210	150	175	2	0.05	0.001	1
AA1804	11150	310	202	4	0.05	0.001	1
AA3405	12800	130	283	2	0.05	0.001	1
OS1838	12500	45	283	2	0.05	0.001	1
AA3409	14800	200	389	2	0.05	0.001	1
AA3406	15500	140	541	2	0.05	0.001	1
AA3407	16300	390	651	2	0.05	0.001	1
AA3408	17200	160	731	2	0.05	0.001	1
AA4228	17500	130	851	4	0.05	0.001	1
OS312	17750	160	851	4	0.05	0.001	1
AA4229	18400	160	1052	4	0.05	0.001	1
AA4218	16900	130	1250	4	0.05	0.001	1
AA4998	20000	160	1302	4	0.05	0.001	1
AA4012	20600	180	1450.5	3	0.05	0.001	1
AA4611	23000	210	1726.5	5	0.05	0.001	1
AA4793	22900	200	1773	4	0.05	0.001	1
AA4744	24600	300	1837.5	5	0.05	0.001	1
AA5009	26600	300	1900	4	0.05	0.001	1
AA4746	32000	500	1991	6	0.05	0.001	1
AA5010	34800	780	2040	4	0.05	0.001	1
AA5000	38300	1090	2100	4	0.05	0.001	1
OS307	36500	420	2100	4	0.05	0.001	1
AA4997	42400	1790	2167	4	0.05	0.001	1
