id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
KIA4693	380	30	3	0	0.05	0.001	1
KIA5085	5300	50	98	0	0.05	0.001	1
KIA4223	5920	40	110	0	0.05	0.001	1
KIA5084	8480	60	163	0	0.05	0.001	1
KIA4224	9150	50	190	0	0.05	0.001	1
KIA4225	10800	90	225	0	0.05	0.001	1
KIA4226	12220	70	257.5	0	0.05	0.001	1
KIA4227	14210	90	290	0	0.05	0.001	1
KIA4228	16140	100	310	0	0.05	0.001	1
KIA6973	20260	110	380	0	0.05	0.001	1
KIA4229	23230	210	420	0	0.05	0.001	1
KIA4230	25060	260	450	0	0.05	0.001	1
KIA4115	27030	220	463	0	0.05	0.001	1
KIA4116	29480	260	508	0	0.05	0.001	1
KIA4231	30840	520	542.5	0	0.05	0.001	1
KIA4117	32460	350	563	0	0.05	0.001	1
KIA4118	36290	560	618	0	0.05	0.001	1
KIA6974	39680	1090	650	0	0.05	0.001	1
KIA4232	41200	2030	680	0	0.05	0.001	1
