id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
KIA27687	790	25	13.5	1	0.05	0.001	1
KIA29278	4830	35	126	2	0.05	0.001	1
KIA29279	5935	40	156.5	1	0.05	0.001	1
KIA29280	7820	40	190	2	0.05	0.001	1
KIA29281	10540	50	260.5	1	0.05	0.001	1
KIA27894	11735	55	340.5	1	0.05	0.001	1
KIA29282	12240	70	400.5	1	0.05	0.001	1
KIA29283	12895	55	457	2	0.05	0.001	1
KIA29284	13800	70	632	2	0.05	0.001	1
KIA29285	15840	70	1185	2	0.05	0.001	1
KIA29286	16900	110	1294.5	5	0.05	0.001	1
KIA29287	18660	130	1457	2	0.05	0.001	1
KIA29288	19580	140	1557.5	1	0.05	0.001	1
KIA29289	22880	210	1960	2	0.05	0.001	1
KIA29691	27190	960	2212	2	0.05	0.001	1
KIA29692	30100	2100	2336	2	0.05	0.001	1
KIA29693	31660	2100	2414	2	0.05	0.001	1
KIA29694	36480	2100	2684	2	0.05	0.001	1
KIA27686	43280	700	2908.5	5	0.05	0.001	1
