id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
Gsac1	2010	90	5	10	0.05	0.001	1
Gsac2	2100	100	5	10	0.05	0.001	1
Gsac3	1930	150	10	20	0.05	0.001	1
Gsac4	1810	100	10	20	0.05	0.001	1
Gsac5	5750	120	64.5	11	0.05	0.001	1
Gsac6	5830	110	65	10	0.05	0.001	1
Gsac7	5990	150	72.5	5	0.05	0.001	1
Gsac8	7670	140	82.5	5	0.05	0.001	1
Gsac9	7500	150	87.5	5	0.05	0.001	1
Gsac10	8250	140	95	10	0.05	0.001	1
Gsac11	8130	140	95	10	0.05	0.001	1
Gsac12	9050	130	102.5	5	0.05	0.001	1
Gsac13	8930	150	107.5	5	0.05	0.001	1
Gsac14	9050	160	112.5	5	0.05	0.001	1
Gsac15	9610	200	117.5	5	0.05	0.001	1
Gsac16	9520	150	125	10	0.05	0.001	1
Gsac17	10620	100	137.5	15	0.05	0.001	1
Gsac18	11580	200	155	10	0.05	0.001	1
Gsac19	9820	160	162.5	5	0.05	0.001	1
Gsac20	11860	190	172.5	5	0.05	0.001	1
Gsac21	13240	190	187.5	15	0.05	0.001	1
Gsac22	13220	190	187.5	15	0.05	0.001	1
Gsac23	13740	190	215	10	0.05	0.001	1
Gsac24	14990	420	247.5	15	0.05	0.001	1
Gsac25	16170	290	277.5	15	0.05	0.001	1
Gsac26	16380	590	309	18	0.05	0.001	1
Gsac27	17540	260	309.5	19	0.05	0.001	1
Gsac28	17020	390	324	12	0.05	0.001	1
